"report_id","date","week","kiosk","lead_name","food_quality_rating","food_quantity_rating","food_concerns_or_outages","team_members_who_did_well","guest_issues_for_the_day","operational_notes","number_of_unclaimed_lunches"
"1","2026-05-01","1","Kiosk A","M.T.","4","4","Chicken ran low during the lunch rush — had to stretch remaining portions.","Team stayed focused throughout the shift.","Multiple guests asked about poke — seems like a recurring request.","No operational concerns today.","5"
"2","2026-05-02","1","Kiosk A","J.S.","4","3","Chicken ran low around noon. Stretched what we had.","Solid effort across the board.","Had a few guests ask about poke today.","N/A","5"
"3","2026-05-03","1","Kiosk A","L.P.","4","4","Chicken ran low around the lunch rush; we stretched portions and got through it.","Everyone pulled their weight today.","No guest concerns today.","Nothing to report.","3"
"4","2026-05-04","1","Kiosk A","N.K.","4","3","chicken ran low again around 12 — had to slow portions","Good energy from everyone on shift.","Nothing to note from guests.","Smooth shift overall.","4"
"5","2026-05-02","1","Kiosk B","J.S.","4","4","Had some leftover pans at end of service — prep was on the higher side today.","Team kept things moving well.","No guest complaints or requests.","All clear.","7"
"6","2026-05-03","1","Kiosk B","L.P.","4","4","Prep ran a bit high; ended up with extra food at close.","Crew was focused and efficient.","Guests seemed satisfied today.","No concerns.","7"
"7","2026-05-04","1","Kiosk B","N.K.","4","4","volume came in lower than expected today — ended up with extra pans","team was good today, no issues","no guest issues","nothing to flag","8"
"8","2026-05-05","2","Kiosk B","D.B.","4","4","Overprepped slightly today — a few pans unclaimed by end of shift.","Team held it together well today.","Nothing to report from guests.","Clean shift.","10"
"9","2026-05-01","1","Kiosk C","L.P.","4","4","No food concerns today.","Good communication throughout the shift.","Several guests mentioned poke when asking about the menu.","Nothing to report.","3"
"10","2026-05-02","1","Kiosk C","N.K.","4","4","food was good today, no issues","everyone did their part","nothing from guests today","all clear","4"
"11","2026-05-03","1","Kiosk C","D.B.","4","4","Prep was on point — nothing to flag.","Good teamwork today.","A couple guests asked about drink options.","No operational concerns today.","5"
"12","2026-05-04","1","Kiosk C","A.R.","4","4","No food concerns.","Team performed well.","No guest feedback today.","Operations ran clean today.","2"
"13","2026-05-02","1","Kiosk D","N.K.","4","4","no food issues today","Shoutout to Dom B. for stepping in on the line when we got busy.","nothing from guests","Register froze during lunch rush — took about 5 minutes to recover.","1"
"14","2026-05-03","1","Kiosk D","D.B.","4","4","Food was good today, nothing to flag.","Team communicated well throughout.","No issues from guests today.","Supply delivery arrived late — cut into our prep window.","5"
"15","2026-05-04","1","Kiosk D","A.R.","4","4","No food concerns to report.","Solid team effort today.","No guest complaints.","Steam table had a temperature drift — reset and monitored closely.","5"
"16","2026-05-05","2","Kiosk D","M.T.","3","4","Food quality was lower than usual today — nothing major but worth noting.","Team adapted to the busy period.","No significant guest issues.","Bottleneck at the handoff station during peak — line backed up briefly.","3"
"17","2026-05-01","1","Kiosk E","D.B.","4","4","Prep was spot on today, no waste.","Dom B. and Alya R. kept line flow smooth and helped newer staff stay on track.","No guest issues today.","Clean shift, no concerns.","0"
"18","2026-05-02","1","Kiosk E","A.R.","5","4","All items well prepped today.","Dom B. kept line flow smooth during the afternoon rush.","No complaints from guests.","No operational issues.","3"
"19","2026-05-03","1","Kiosk E","M.T.","5","4","Food quality was excellent today — well prepped.","Dom B. and Alya R. kept line flow smooth throughout the shift.","Nothing to flag from guests.","Everything ran smoothly.","1"
"20","2026-05-04","1","Kiosk E","J.S.","5","4","Nothing to flag on food today.","Shoutout to Alya R. and Dom B. — kept line flow smooth start to finish.","No guest issues.","N/A","3"
"21","2026-05-02","1","Kiosk F","A.R.","4","3","Quantity estimates were a bit off today — needed to add rice mid-shift.","Team adapted to the adjustments well.","No guest concerns.","No operational concerns.","1"
"22","2026-05-03","1","Kiosk F","M.T.","4","4","Prep amounts were inconsistent — made corrections around noon.","Team handled the mid-shift corrections well.","Guests asked about expanding the beverage selection.","Nothing to report.","4"
"23","2026-05-04","1","Kiosk F","J.S.","4","3","Had to adjust proteins mid-shift; initial prep didn't match demand.","Good effort from the team today.","No issues from guests.","Smooth shift.","3"
"24","2026-05-05","2","Kiosk F","L.P.","4","4","Rice ran short earlier than expected; corrected mid-service.","Crew stayed coordinated throughout.","Nothing notable from guests.","Operations ran smoothly today.","3"
"25","2026-05-08","2","Kiosk A","J.S.","4","4","Chicken ran low during lunch. Had to stretch.","Team worked through it well.","No guest feedback today.","Nothing to report.","2"
"26","2026-05-09","2","Kiosk A","L.P.","4","3","Noticed chicken ran low around the lunch rush; team stretched what we had.","Shoutout to Dom B. for stepping in and helping keep the line moving during rush.","No guest concerns today.","No concerns.","1"
"27","2026-05-10","2","Kiosk A","N.K.","4","4","chicken levels looked fine today, no issues","solid shift overall","Poke came up again — a few regulars asking about it.","nothing to flag","1"
"28","2026-05-11","2","Kiosk A","D.B.","4","3","Chicken ran low again today — team managed well but it was close.","Good energy from the crew.","No major guest issues.","Clean shift overall.","3"
"29","2026-05-09","2","Kiosk B","L.P.","4","4","Food prep was higher than demand today; noticed extra portions at close.","Team stayed on task throughout the shift.","No guest issues.","Nothing to report.","9"
"30","2026-05-10","2","Kiosk B","N.K.","4","4","demand was lighter than expected — had extra food at end of shift","team was solid today","no guest concerns","all good","6"
"31","2026-05-11","2","Kiosk B","D.B.","4","4","Prepped more than needed today — some trays were left over at end of service.","Team did well overall.","Nothing to note from guests.","No issues today.","8"
"32","2026-05-12","3","Kiosk B","A.R.","4","4","Volume came in lower than prepped for; excess food at close of service.","Team performed consistently throughout.","No guest feedback.","Operations ran as expected.","10"
"33","2026-05-08","2","Kiosk C","N.K.","4","4","food was good today","everyone was solid","Had a few requests for additional beverage choices.","no issues to report","1"
"34","2026-05-09","2","Kiosk C","D.B.","4","4","Prep was solid today, no concerns.","Great attitude from the team today.","No guest concerns.","Smooth shift.","4"
"35","2026-05-10","2","Kiosk C","A.R.","4","4","No food concerns to report.","Team maintained good pace throughout service.","Heard poke requests from a couple of guests today.","No operational concerns.","5"
"36","2026-05-11","2","Kiosk C","M.T.","4","4","Food and prep were well-balanced today.","Team performed at a consistent level.","No significant guest issues today.","Nothing to flag.","1"
"37","2026-05-09","2","Kiosk D","D.B.","4","4","No food issues today — all looked good.","Team handled things well.","No guest concerns.","Register froze briefly during lunch — resolved without losing orders.","2"
"38","2026-05-10","2","Kiosk D","A.R.","4","4","No food concerns.","Team was efficient today.","No guest issues.","Supply delivery arrived late today; team had to compress prep.","1"
"39","2026-05-11","2","Kiosk D","M.T.","4","4","Nothing to flag on food today.","Shoutout to Dom B. for keeping the line moving during the midday rush.","A few guests brought up poke and asked about the menu.","Temperature drift on the steam table mid-shift; required reset.","2"
"40","2026-05-12","3","Kiosk D","J.S.","3","4","Food quality was a bit off today but nothing major.","Team kept it together despite the hiccups.","No guest issues.","Had a bottleneck near handoff during rush; slowed things down.","1"
"41","2026-05-08","2","Kiosk E","A.R.","4","4","All items well prepared today.","Dom B. and Alya R. kept line flow smooth throughout service.","No guest complaints.","No concerns today.","2"
"42","2026-05-09","2","Kiosk E","M.T.","5","4","Prep was excellent today — zero waste.","Dom B. kept line flow smooth and set a strong pace for the team.","No guest concerns.","Everything ran smoothly.","0"
"43","2026-05-10","2","Kiosk E","J.S.","5","4","Food was great today. Zero issues.","Alya R. and Dom B. kept line flow smooth — strong shift.","No issues from guests.","N/A","0"
"44","2026-05-11","2","Kiosk E","L.P.","5","4","No food concerns to report today.","Dom B. and Alya R. kept line flow smooth and supported newer staff throughout.","Guest asked about adding more drink variety.","Nothing to flag operationally.","2"
"45","2026-05-09","2","Kiosk F","M.T.","4","3","Proteins were running short mid-shift — needed additional prep around noon.","Team responded well to the adjustments.","No guest concerns.","No operational issues today.","5"
"46","2026-05-10","2","Kiosk F","J.S.","4","4","Quantities were off today — proteins needed replenishment mid-shift.","Good effort from everyone.","Nothing to note from guests.","Smooth shift.","1"
"47","2026-05-11","2","Kiosk F","L.P.","4","3","Rice ran short earlier than expected today; corrected mid-service.","Team made the corrections without losing pace.","Guests brought up poke and asked about the menu.","Nothing to report.","5"
"48","2026-05-12","3","Kiosk F","N.K.","4","4","prep was inconsistent again today — had to adjust quantities mid shift","team handled it, no major issues","no guest feedback","nothing to report","4"
"49","2026-05-15","3","Kiosk A","L.P.","4","4","Chicken levels were well-managed today — no concerns.","Crew kept a good pace throughout service.","No guest issues today.","Nothing to report.","5"
"50","2026-05-16","3","Kiosk A","N.K.","4","3","short on chicken around the lunch rush — had to make it work","team handled it without too much trouble","nothing notable from guests","all good otherwise","5"
"51","2026-05-17","3","Kiosk A","D.B.","4","4","Good prep day — chicken levels held through the rush.","Team energy was great today.","No guest concerns.","No issues to flag.","4"
"52","2026-05-18","3","Kiosk A","A.R.","4","3","Chicken ran low during peak service. Portions adjusted accordingly.","Shoutout to Dom B. for jumping in and keeping things moving during the rush.","No significant guest feedback.","No operational concerns.","6"
"53","2026-05-16","3","Kiosk B","N.K.","4","4","prepped high again today — left with extra at close","team was solid throughout","no guest issues","nothing to flag","10"
"54","2026-05-17","3","Kiosk B","D.B.","4","4","We overprepped again — several pans left at end of service.","Team did a solid job today.","No issues from guests.","Clean shift.","8"
"55","2026-05-18","3","Kiosk B","A.R.","4","4","Excess food prep noted again — demand did not match prep levels.","Team maintained good pace throughout.","Had a few requests for additional beverage choices.","No operational issues.","8"
"56","2026-05-19","4","Kiosk B","M.T.","4","4","Prep was higher than demand today — excess portions at close.","Team performed well under consistent conditions.","No guest feedback.","Nothing to flag.","9"
"57","2026-05-15","3","Kiosk C","D.B.","4","4","Prep was on point today — nothing to flag.","Positive energy from the team.","Several guests asked to bring back poke — seems like a consistent request.","Smooth shift overall.","5"
"58","2026-05-16","3","Kiosk C","A.R.","4","4","No food concerns today.","Team operated efficiently.","No notable guest feedback.","Operations ran smoothly.","5"
"59","2026-05-17","3","Kiosk C","M.T.","4","4","Food prep was well-calibrated today.","Team was engaged and productive.","Multiple guests asked about poke — it keeps coming up.","No concerns today.","3"
"60","2026-05-18","3","Kiosk C","J.S.","4","4","All good on food today.","Team stayed on top of things.","No guest issues.","Nothing to report.","7"
"61","2026-05-16","3","Kiosk D","A.R.","4","4","No food concerns to report.","Team was steady today.","No guest complaints.","Register froze for a few minutes during peak; rebooted and continued.","6"
"62","2026-05-17","3","Kiosk D","M.T.","4","4","No food-related concerns today.","Team handled the shift professionally.","No notable guest issues.","Supply delivery arrived late; we adjusted and were ready before service.","7"
"63","2026-05-18","3","Kiosk D","J.S.","4","4","No food issues today.","Solid team performance.","No issues from guests.","Noticed temperature drift on steam table; corrected before service was affected.","7"
"64","2026-05-19","4","Kiosk D","L.P.","3","4","Food quality was a bit below standard today — worth keeping an eye on.","Team kept composure despite the disruptions.","No guest complaints.","Bottleneck at handoff caused a brief slowdown during peak hours.","4"
"65","2026-05-15","3","Kiosk E","M.T.","4","4","Food prep was solid today — no concerns.","Shoutout to Dom B. for covering during the midday push.","No guest issues.","No concerns to report.","1"
"66","2026-05-16","3","Kiosk E","J.S.","5","4","Great food day. Zero waste.","Dom B. and Alya R. kept line flow smooth — best shift this week.","A couple guests asked about drink options.","Nothing to flag.","0"
"67","2026-05-17","3","Kiosk E","L.P.","5","4","No food concerns; well prepped across the board.","Dom B. kept line flow smooth and helped the newer staff find their footing.","No notable guest feedback.","Clean and smooth shift.","3"
"68","2026-05-18","3","Kiosk E","N.K.","5","4","food was on point today, no issues","Dom B. and Alya R. kept line flow smooth again — consistent team today","nothing from guests","no concerns","0"
"69","2026-05-16","3","Kiosk F","J.S.","4","3","Portions came in short early — had to make adjustments to rice around noon.","Team adapted without too much disruption.","No guest concerns.","Nothing to flag today.","7"
"70","2026-05-17","3","Kiosk F","L.P.","4","4","Quantity estimates were off again today — proteins needed a mid-shift correction.","Team adjusted prep without impacting service.","No guest feedback today.","No concerns.","7"
"71","2026-05-18","3","Kiosk F","N.K.","4","3","rice quantities were short early again — corrected but took some juggling","team managed well considering","nothing from guests today","all good otherwise","4"
"72","2026-05-19","4","Kiosk F","D.B.","4","4","Inventory tracking was inconsistent today — had to make corrections mid-service.","Team handled the corrections well.","No notable guest issues.","Smooth shift overall.","5"
"73","2026-05-22","4","Kiosk A","N.K.","4","4","good prep day today — chicken was fine","team was solid","no guest issues","nothing to flag","2"
"74","2026-05-23","4","Kiosk A","D.B.","4","3","Chicken ran low during the lunch rush again — it's becoming a pattern.","Team handled it well despite the shortage.","No guest concerns today.","No operational issues.","5"
"75","2026-05-24","4","Kiosk A","A.R.","4","4","Chicken levels held today — no shortages.","Team performed well.","Several guests mentioned poke when asking about the menu.","No concerns.","2"
"76","2026-05-25","4","Kiosk A","M.T.","4","3","Short on chicken toward the end of lunch — had to manage portions carefully.","Team managed the shortage without incident.","No guest feedback today.","Nothing to flag.","1"
"77","2026-05-23","4","Kiosk B","D.B.","4","4","Demand was lower than expected today — left with extra pans at close.","Team was efficient and organized.","A guest asked about drink options.","No concerns today.","6"
"78","2026-05-24","4","Kiosk B","A.R.","4","4","Excess food prep noted again — volume lower than anticipated.","Shoutout to Dom B. for stepping up and helping manage the line during a slow stretch.","No guest issues.","Operations ran as expected.","6"
"79","2026-05-25","4","Kiosk B","M.T.","4","4","Significant overprep today — waste was notably high at close.","Team followed process well despite the prep mismatch.","No notable guest feedback.","No operational concerns.","10"
"80","2026-05-26","5","Kiosk B","J.S.","4","4","Overprepped again — lots of leftovers at end of shift.","Team kept a steady pace.","No guest issues.","Nothing to flag.","8"
"81","2026-05-22","4","Kiosk C","A.R.","4","4","No food concerns today.","Team worked well together.","Multiple guests asked about poke — it's been consistent.","No concerns.","1"
"82","2026-05-23","4","Kiosk C","M.T.","4","4","Food prep was well-managed today.","Team maintained a consistent level of performance.","No significant guest issues.","Nothing to report.","5"
"83","2026-05-24","4","Kiosk C","J.S.","4","4","All good on food today.","Good shift overall.","A few guests asked about poke — third time this week.","N/A","3"
"84","2026-05-25","4","Kiosk C","L.P.","4","4","No food concerns — prep and quantity were both appropriate.","Crew stayed coordinated throughout the shift.","No guest feedback today.","Clean shift, no issues.","4"
"85","2026-05-23","4","Kiosk D","M.T.","4","4","No food-related concerns today.","Team handled the shift well.","No guest complaints.","Register froze again during lunch — becoming a recurring issue.","1"
"86","2026-05-24","4","Kiosk D","J.S.","4","4","Nothing to flag on food.","Team was efficient today.","No guest concerns.","Supply delivery arrived late again — second time this month.","3"
"87","2026-05-25","4","Kiosk D","L.P.","4","4","Food was well-prepped and portioned today.","Team maintained a good pace throughout.","Guests brought up poke again — multiple mentions today.","Steam table temperature drift required a manual reset this afternoon.","5"
"88","2026-05-26","5","Kiosk D","N.K.","3","4","food quality was a bit off today","team did their best with the issues","guest asked about drink options","Bottleneck at handoff area backed up the line during peak period.","2"
"89","2026-05-22","4","Kiosk E","J.S.","4","4","Great food day. Everything held through service.","Dom B. and Alya R. kept line flow smooth and supported the team throughout.","No guest issues.","Nothing to flag.","0"
"90","2026-05-23","4","Kiosk E","L.P.","5","4","No food concerns — prep was calibrated well today.","Dom B. and Alya R. kept line flow smooth — impressive consistency.","No notable guest feedback.","Clean shift.","1"
"91","2026-05-24","4","Kiosk E","N.K.","5","4","food was perfect today, no waste","Shoutout to Dom B. for keeping the energy up and the line moving.","nothing from guests","smooth shift","0"
"92","2026-05-25","4","Kiosk E","D.B.","5","4","Zero waste today — excellent prep.","Dom B. and Alya R. kept line flow smooth — another standout shift.","No guest concerns.","No operational issues.","0"
"93","2026-05-23","4","Kiosk F","L.P.","4","3","Quantities were off again — rice ran short before end of lunch.","Team made adjustments without disrupting service too much.","No guest concerns today.","No other concerns.","5"
"94","2026-05-24","4","Kiosk F","N.K.","4","4","protein levels were short again mid-shift — had to restock","team handled it well","no guest issues","nothing to flag","5"
"95","2026-05-25","4","Kiosk F","D.B.","4","3","Had to make prep corrections mid-service again — rice and proteins were both off.","Team adapted well, didn't lose much time.","A few guests brought up poke today and asked about the menu.","No major operational issues.","4"
"96","2026-05-26","5","Kiosk F","A.R.","4","4","Prep volumes were inconsistent — corrected mid-shift.","Team performed at a consistent level.","No guest feedback.","Operations ran as expected.","5"
"97","2026-05-30","4","Kiosk A","A.R.","4","4","Chicken supply ran short before end of service — team managed portions carefully.","Team managed portions carefully during the rush.","Bring back poke was requested by multiple guests.","No concerns today.","3"
"98","2026-05-31","4","Kiosk B","M.T.","4","4","Prep came in high again — excess portions at close of service.","Team worked through the busy period without issue.","Bring back poke was requested by multiple guests.","No concerns today.","10"
"99","2026-06-01","4","Kiosk C","J.S.","4","4","Good food day. Nothing to flag.","Crew stayed focused and efficient throughout.","Bring back poke was requested by multiple guests.","No concerns today.","3"
"100","2026-06-02","4","Kiosk D","L.P.","4","4","No food concerns to report.","Team handled the volume well and maintained pace.","Bring back poke was requested by multiple guests.","No concerns today.","3"
